#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Canada,"4,641,301",,"52,247                                ",,"4,585,040","+1,003","4,014",99,"120,904","1,361","66,343,123","1,728,207","38,388,419 ",North America,,87351,,,105
34,Czechia,"4,640,543",,"42,774                                ",,"4,595,388",,"2,381",10,"432,210","3,984","57,181,753","5,325,780","10,736,784 ",Europe,,22510,,,222
35,Peru,"4,503,222",,"220,196                                ",,"4,279,159",,"3,867",26,"133,689","6,537","38,548,796","1,144,417","33,684,208 ",South America,,71531,,,115
36,Switzerland,"4,402,438",,"14,452                                ",,"4,383,180",,"4,806",39,"501,780","1,647","23,833,472","2,716,487","8,773,637 ",Europe,,26070,,,548
37,Philippines,"4,096,335",,"66,444                                ",,"4,022,326",,"7,565",162,"36,409",591,"35,037,470","311,419","112,508,994 ",Asia,,"271,6933",,,67
38,South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135 ",Africa,,155922,,,"1,010"
39,Romania,"3,393,902",,"68,089                                ",,"3,314,667",,"11,146",128,"178,332","3,578","27,242,332","1,431,446","19,031,335 ",Europe,,62801,,,586
40,Denmark,"3,180,726",,"8,572                                ",,"3,171,359",,795,19,"545,116","1,469","129,268,444","22,154,165","5,834,950 ",Europe,,26810,,,136
41,Hong Kong,"2,892,450",,"13,563                                ",,"2,871,114",,"7,773",28,"380,370","1,784","76,127,725","10,011,143","7,604,299 ",Asia,,35610,,,"1,022"
42,Sweden,"2,707,189",,"24,141                                ",,"2,678,950",,"4,098",8,"264,918","2,362","19,500,873","1,908,301","10,218,971 ",Europe,,44231,,,401
43,Serbia,"2,536,159",,"18,022                                ",,"2,509,836",,"8,301",15,"293,095","2,083","12,806,989","1,480,061","8,653,016 ",Europe,,34801,,,959
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16
45,Singapore,"2,340,779",,"1,727                                ",,"2,149,583",,"189,469",2,"393,835",291,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4420",,,"31,878"
46,New Zealand,"2,324,094",,"4,154                                ",,"2,310,320",,"9,620",,"474,479",848,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,"21,1791",,,"1,964"
47,Hungary,"2,201,355",,"48,846                                ",,"2,148,647",,"3,862",13,"229,158","5,085","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,402
48,Bangladesh,"2,038,250",,"29,446                                ",,"1,998,448",,"10,356",N/A,"12,141",175,"15,254,399","90,862","167,885,689 ",Asia,,"825,70111",,,62
49,Slovakia,"1,866,470",,"21,167                                ",,"1,845,061",+33,242,18,"341,832","3,877","7,427,231","1,360,251","5,460,193 ",Europe,,32581,,,44
50,Georgia,"1,840,187",,"17,059                                ",,"1,776,548",,"46,580",,"463,671","4,298","16,920,079","4,263,340","3,968,738 ",Asia,,22330,,,"11,737"
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181
52,Ireland,"1,710,625",,"8,866                                ",,"1,699,569",,"2,190",19,"340,748","1,766","13,083,449","2,606,161","5,020,199 ",Europe,,35660,,,436
53,Pakistan,"1,580,801",,"30,658                                ",,"1,538,689",,"11,454",8,"6,888",134,"30,571,377","133,215","229,488,994 ",Asia,,"1457,4858",,,50
54,Norway,"1,483,454",,"5,213                                ",,"1,477,213",,"1,028",20,"269,162",946,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0571",,,187
55,Finland,"1,475,378",,"9,373                                ",,"1,459,986",,"6,019",21,"265,597","1,687","12,090,288","2,176,485","5,554,960 ",Europe,,45930,,,"1,084"
56,Kazakhstan,"1,411,768",,"13,848                                ",,"1,383,020",,"14,900",24,"73,510",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",,,776
57,Slovenia,"1,343,364",,"7,100                                ",,"1,328,006",,"8,258",8,"646,459","3,417","2,847,701","1,370,382","2,078,034 ",Europe,,22931,,,"3,974"
58,Lithuania,"1,318,786",,"9,669                                ",,"1,307,212",,"1,905",2,"495,466","3,633","10,439,469","3,922,094","2,661,708 ",Europe,,22750,,,716
59,Bulgaria,"1,305,030",,"38,339                                ",,"1,264,067",,"2,624",30,"190,666","5,601","11,190,426","1,634,928","6,844,597 ",Europe,,51791,,,383
60,Morocco,"1,273,463",,"16,297                                ",,"1,256,151",,"1,015",3,"33,714",431,"13,001,033","344,191","37,772,756 ",Africa,,"302,3183",,,27
61,Croatia,"1,272,886",,"18,180                                ",,"1,253,558",,"1,148",6,"313,574","4,479","5,582,393","1,375,215","4,059,286 ",Europe,,32231,,,283
62,Guatemala,"1,248,823",,"20,196                                ",,"1,227,381",,"1,246",5,"67,199","1,087","7,235,362","389,332","18,584,039 ",North America,,159203,,,67
63,Lebanon,"1,236,971",,"10,904                                ",,"1,087,587",,"138,480",74,"185,041","1,631","4,795,578","717,380","6,684,849 ",Asia,,56131,,,"20,716"
